"record id","file/path or line","exact claim","official source","access date","direct support","status","correction","finding ID"
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.steps[4]","If approved, ask the CRA to reassess up to 10 past years — this can mean a large back-payment.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.documents[0]","Your Social Insurance Number (SIN)","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.documents[1]","A medical practitioner familiar with your condition","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.documents[2]","Real examples of how it limits you (focus, memory, walking, self-care, etc.)","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.tips[0]","The medical practitioner's section decides most approvals — ask them to be specific and give concrete examples of your limitations.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","No","Unsupported","Remove outcome-frequency claims unless CRA publishes evidence; keep concrete reconsideration/objection routes.",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.tips[1]","You do NOT need to pay a private company a percentage of your refund. Applying directly is free.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Partial","Manual follow-up required","Separate practical AbilityFinder advice from facts directly stated by the program owner.",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.tips[2]","Denied? You can request a review or appeal. Many people are approved on a second try with stronger wording.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","No","Unsupported","Remove outcome-frequency claims unless CRA publishes evidence; keep concrete reconsideration/objection routes.",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.time","About 8 weeks once the CRA has the completed form.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Partial","Ambiguous","Link to CRA’s live targeted processing-time tool and distinguish routine, complex and tax-adjustment timelines.","DATA-27"
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.phone","CRA: 1-800-959-8281","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / name","Canada Disability Benefit","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / level","Federal","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / category","Money","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / amount","Up to $2,400 / year ($200 / month)","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","No","Outdated","For July 2026–June 2027 use up to $204.20/month, indexed working-income exemptions of $10,210/$14,294, and separately explain the September 2026 $150 supplement.","DATA-03"
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / summary","A monthly payment for working-age adults with a disability and lower income.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / requires[0]","dtc","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / requires[1]","workingAge","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / requires[2]","lowIncome","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / note","You get the maximum if your income is under about $23,000 (single) or $32,500 (couple). You must be approved for the DTC first.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / applyText","Learn how to apply","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / applyUrl","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit.html","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / source","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit.html","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.about","A new federal income top-up (started July 2025) for low-income adults aged 18–64 who are approved for the Disability Tax Credit.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.steps[0]","Make sure your DTC is approved and your taxes are filed.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.steps[1]","Apply online, by phone, by mail, or in person once applications are open to you.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.steps[2]","Provide direct-deposit details so payments arrive automatically.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.documents[0]","DTC approval on file with the CRA","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.documents[1]","Your most recent tax return filed","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.documents[2]","Banking info for direct deposit","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Yes","Verified","",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.tips[0]","File your taxes every year even with no income — payments are calculated from your return.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Partial","Manual follow-up required","Separate practical AbilityFinder advice from facts directly stated by the program owner.",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.tips[1]","The first $10,000 of your own working income (or $14,000 for a couple) is not counted against you.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","No","Outdated","For July 2026–June 2027 use up to $204.20/month, indexed working-income exemptions of $10,210/$14,294, and separately explain the September 2026 $150 supplement.","DATA-03"
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.time","Paid monthly once approved.","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Partial","Manual follow-up required","Use the official live processing statement or say that no service standard is published.",""
"cdb-adult","public/data.js:959 / BENEFITS[cdb-adult] / detail.phone","Service Canada: 1-800-O-Canada","https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/eligibility.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/amount.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/apply.html | https://www.canada.ca/en/services/benefits/disability/canada-disability-benefit/contact.html","2026-07-22","Partial","Outdated","Use the dedicated CDB line 1-833-486-3007 (and publish TTY/VRS options), not only generic 1-800-O-Canada.","DATA-34"
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / name","Child Disability Benefit","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / level","Federal","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / category","Money (for parents)","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / amount","Up to $3,480 / year per child ($290 / month)","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / summary","A tax-free monthly amount added to the Canada Child Benefit for a child approved for the DTC.","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / requires[0]","dtc","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / requires[1]","child","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / note","Once your child is approved for the DTC and you already receive the Canada Child Benefit, this is added automatically — no separate form.","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / applyText","How the Child Disability Benefit works","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / applyUrl","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / source","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / detail.about","Extra monthly money for families raising a child under 18 who qualifies for the Disability Tax Credit. It's added on top of the regular Canada Child Benefit.","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
"child-disability-benefit","public/data.js:996 / BENEFITS[child-disability-benefit] / detail.steps[0]","Apply for the DTC for your child (Form T2201).","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html","2026-07-22","Yes","Verified","",""
